School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
2290,91,704,3,24,44,26,11,18,1,0,75,FRANKLIN LEARNING CENTER,FRANKLIN LEARNING CENTER,616 N. 15TH ST.,19130,NA,PHILADELPHIA,PA,2156845916,9,12,www.flc.phila.k12.pa.us,HIGH SCHOOL,1,0,2,1,0,35,30,3,1,0,95,5,9,3,70988
2320,94,593,73,50,59,6,24,7,4,0,89,STEPHEN GIRARD SCHOOL,"GIRARD, STEPHEN SCHOOL",1800 SNYDER AVE.,19145,NA,PHILADELPHIA,PA,2159528554,0,4,www.philasd.org/schools/girard,ELEMENTARY SCHOOL,0,0,6,2,1,80,40,20,8,11,94,10,0,22,71885
2340,97,557,64,36,20,15,58,2,5,0,58,MC CALL SCHOOL,"MC CALL, GEN. GEORGE A. SCHOOL",325 S. 7TH ST.,19106,NA,PHILADELPHIA,PA,2153517350,0,8,www.philasd.org/schools/mccall,ELEMENTARY SCHOOL,0,0,0,0,0,14,10,2,0,0,96,9,9,26,74461
2370,92,773,103,72,94,1,1,2,2,0,92,DELAPLAINE MCDANIEL SCHOOL,"MCDANIEL, DELAPLAINE SCHOOL",1801 S. 22ND ST.,19145,NA,PHILADELPHIA,PA,2159526380,0,8,www.philasd.org/schools/mcdaniel,ELEMENTARY SCHOOL,1,2,23,3,1,109,72,22,8,6,93,14,0,1,64570
2380,96,489,21,11,25,59,6,5,4,0,50,MEREDITH SCHOOL,"MEREDITH, WILLIAM M. SCHOOL",725 S. 5TH ST.,19147,NA,PHILADELPHIA,PA,2153517360,0,8,www.meredith.phila.k12.pa.us,ELEMENTARY SCHOOL,0,0,0,0,0,14,10,3,1,0,96,8,19,0,69947
2390,93,351,64,55,97,0,0,2,1,0,92,ROBERT MORRIS SCHOOL,"MORRIS, ROBERT SCHOOL",2600 W. THOMPSON ST.,19121,NA,PHILADELPHIA,PA,2156845087,0,8,www.philasd.org/schools/morris,ELEMENTARY SCHOOL,0,2,20,2,0,78,42,18,7,12,95,19,1,0,70835
2410,97,499,3,6,28,51,14,4,2,0,49,GIRARD ACADEMIC MUSIC PROGRAM,GIRARD ACADEMIC MUSIC PROGRAM,2136 W. RITNER ST.,19145,NA,PHILADELPHIA,PA,2159528589,5,12,www.philasd.org/schools/gamp,HIGH SCHOOL,0,0,0,0,0,1,1,0,0,0,96,5,18,0,69541
2450,94,230,21,13,90,2,1,5,3,0,89,EDWIN M. STANTON SCHOOL,"STANTON, EDWIN M. SCHOOL",1700 CHRISTIAN ST.,19146,NA,PHILADELPHIA,PA,2158753185,0,8,,ELEMENTARY SCHOOL,0,1,4,0,0,28,20,5,2,2,94,14,4,1,64464
2470,96,516,29,14,50,33,6,4,6,0,55,ALBERT M. GREENFIELD SCHOOL,"GREENFIELD, ALBERT M. SCHOOL",2200 CHESTNUT ST.,19103,NA,PHILADELPHIA,PA,2152993566,0,8,www.centercityschools.com/Greenfield/,ELEMENTARY SCHOOL,0,0,2,1,0,17,12,3,1,1,93,16,10,1,70799
2480,94,206,29,18,88,1,1,4,5,0,88,CHESTER A. ARTHUR SCHOOL,"ARTHUR, CHESTER A. SCHOOL",2000 CATHARINE ST.,19146,NA,PHILADELPHIA,PA,2158755774,0,8,,ELEMENTARY SCHOOL,0,0,7,0,0,27,16,6,4,2,91,24,1,2,65534
